id,open,high,low,close,volume,adj_close,company,exchange,date
180,131.78,133.56,131.07,131.46,109713200.0,131.46,AAPL,XNAS,2021-04-30
181,136.47,137.07,132.45,133.48,149258361.0,133.48,AAPL,XNAS,2021-04-29
182,134.31,135.02,133.08,133.58,107760097.0,133.58,AAPL,XNAS,2021-04-28
183,135.01,135.4,134.11,134.39,63819400.0,134.39,AAPL,XNAS,2021-04-27
184,134.83,135.06,133.5699,134.72,63123294.0,134.72,AAPL,XNAS,2021-04-26
185,132.16,135.12,132.16,134.32,78657500.0,134.32,AAPL,XNAS,2021-04-23
186,133.04,134.15,131.4138,131.94,81136914.0,131.94,AAPL,XNAS,2021-04-22
187,132.36,133.75,131.31,133.5,67380653.0,133.5,AAPL,XNAS,2021-04-21
188,135.02,135.53,131.8115,133.11,93002207.0,133.11,AAPL,XNAS,2021-04-20
189,133.51,135.47,133.34,134.84,93927060.0,134.84,AAPL,XNAS,2021-04-19
190,134.3,134.66,133.28,134.16,81113424.0,134.16,AAPL,XNAS,2021-04-16
191,133.82,135.0,133.64,134.5,85846307.0,134.5,AAPL,XNAS,2021-04-15
192,134.94,135.0,131.655,132.03,83184339.0,132.03,AAPL,XNAS,2021-04-14
193,132.44,134.66,131.94,134.43,87964051.0,134.43,AAPL,XNAS,2021-04-13
194,132.52,132.85,130.63,131.24,85546001.0,131.24,AAPL,XNAS,2021-04-12
195,129.8,133.04,129.47,132.995,106686703.0,132.995,AAPL,XNAS,2021-04-09
196,128.95,130.39,128.52,130.36,87394440.0,130.36,AAPL,XNAS,2021-04-08
197,125.83,127.92,125.14,127.9,83466616.0,127.9,AAPL,XNAS,2021-04-07
198,126.5,127.13,125.65,126.21,80171253.0,126.21,AAPL,XNAS,2021-04-06
199,123.87,126.1601,123.07,125.9,86139134.0,125.9,AAPL,XNAS,2021-04-05
200,123.66,124.18,122.49,123.0,75089134.0,123.0,AAPL,XNAS,2021-04-01
201,121.65,123.52,121.15,122.15,110940463.0,122.15,AAPL,XNAS,2021-03-31
202,120.11,120.4031,118.86,119.9,85671919.0,119.9,AAPL,XNAS,2021-03-30
203,121.65,122.58,120.7299,121.39,80819203.0,121.39,AAPL,XNAS,2021-03-29
204,120.35,121.48,118.92,121.21,94071234.0,121.21,AAPL,XNAS,2021-03-26
205,119.54,121.66,119.0,120.59,98844681.0,120.59,AAPL,XNAS,2021-03-25
206,122.82,122.9,120.065,120.09,85447491.0,120.09,AAPL,XNAS,2021-03-24
207,123.33,124.24,122.14,122.54,95467142.0,122.54,AAPL,XNAS,2021-03-23
208,120.33,123.87,120.26,123.39,111912284.0,123.39,AAPL,XNAS,2021-03-22
209,119.9,121.43,119.675,119.99,185023200.0,119.99,AAPL,XNAS,2021-03-19
210,122.88,123.18,120.33,120.53,118907153.0,120.53,AAPL,XNAS,2021-03-18
211,124.05,125.8599,122.34,124.76,111932636.0,124.76,AAPL,XNAS,2021-03-17
212,125.7,127.22,124.715,125.57,115227936.0,125.57,AAPL,XNAS,2021-03-16
213,121.41,124.0,120.43,123.99,92590555.0,123.99,AAPL,XNAS,2021-03-15
214,120.4,121.17,119.16,121.03,87963400.0,121.03,AAPL,XNAS,2021-03-12
215,122.54,123.21,121.26,121.96,102753600.0,121.96,AAPL,XNAS,2021-03-11
216,121.69,122.17,119.45,119.98,111760400.0,119.98,AAPL,XNAS,2021-03-10
217,119.03,122.06,118.79,121.09,129159600.0,121.09,AAPL,XNAS,2021-03-09
218,120.93,121.0,116.21,116.36,153918600.0,116.36,AAPL,XNAS,2021-03-08
219,120.98,121.935,117.57,121.42,153590400.0,121.42,AAPL,XNAS,2021-03-05
220,121.75,123.6,118.62,120.13,164527934.0,120.13,AAPL,XNAS,2021-03-04
221,124.81,125.71,121.84,122.06,112965897.0,122.06,AAPL,XNAS,2021-03-03
222,128.41,128.72,125.015,125.12,102260945.0,125.12,AAPL,XNAS,2021-03-02
223,123.75,127.93,122.79,127.79,116307892.0,127.79,AAPL,XNAS,2021-03-01
224,122.59,124.85,121.2,121.26,164320000.0,121.26,AAPL,XNAS,2021-02-26
225,124.68,126.4585,120.54,120.99,148199540.0,120.99,AAPL,XNAS,2021-02-25
226,124.94,125.56,122.23,125.35,111039904.0,125.35,AAPL,XNAS,2021-02-24
227,123.76,126.705,118.39,125.86,158273022.0,125.86,AAPL,XNAS,2021-02-23
228,128.01,129.72,125.6,126.0,100925374.0,126.0,AAPL,XNAS,2021-02-22
229,130.24,130.71,128.8,129.87,87668834.0,129.87,AAPL,XNAS,2021-02-19
230,129.2,129.995,127.41,129.71,96856748.0,129.71,AAPL,XNAS,2021-02-18
231,131.25,132.22,129.47,130.84,97372199.0,130.84,AAPL,XNAS,2021-02-17
232,135.49,136.01,132.79,133.19,80576316.0,133.19,AAPL,XNAS,2021-02-16
233,134.35,135.53,133.6921,135.37,60145130.0,135.37,AAPL,XNAS,2021-02-12
234,135.9,136.39,133.77,135.13,64280029.0,135.13,AAPL,XNAS,2021-02-11
235,136.48,136.99,134.4,135.39,72647988.0,135.39,AAPL,XNAS,2021-02-10
236,136.62,137.877,135.85,136.01,75986989.0,136.01,AAPL,XNAS,2021-02-09
237,136.03,136.96,134.92,136.91,71297214.0,136.91,AAPL,XNAS,2021-02-08
238,137.35,137.42,135.86,136.76,75693830.0,136.76,AAPL,XNAS,2021-02-05
239,136.3,137.4,134.59,137.39,84183061.0,137.1843638886,AAPL,XNAS,2021-02-04
240,135.76,135.77,133.61,133.94,89880937.0,133.7395276165,AAPL,XNAS,2021-02-03
241,135.73,136.31,134.61,134.99,82266419.0,134.99,AAPL,XNAS,2021-02-02
242,133.75,135.38,130.93,134.14,106239823.0,134.14,AAPL,XNAS,2021-02-01
243,135.83,136.74,130.21,131.96,177523812.0,131.96,AAPL,XNAS,2021-01-29
244,139.52,141.99,136.7,137.09,142621128.0,137.09,AAPL,XNAS,2021-01-28
245,143.43,144.3,140.41,142.06,140843759.0,142.06,AAPL,XNAS,2021-01-27
246,143.6,144.3,141.37,143.16,98390555.0,143.16,AAPL,XNAS,2021-01-26
247,143.07,145.09,136.54,142.92,157611713.0,142.92,AAPL,XNAS,2021-01-25
248,136.28,139.85,135.02,139.07,114459360.0,139.07,AAPL,XNAS,2021-01-22
249,133.8,139.67,133.59,136.87,120529544.0,136.87,AAPL,XNAS,2021-01-21
250,128.66,132.49,128.55,132.03,104319489.0,132.03,AAPL,XNAS,2021-01-20
251,127.78,128.71,126.938,127.83,90757329.0,127.83,AAPL,XNAS,2021-01-19
